latitude,longitude,Formatted_Address,Place_ID,Place_Types,plus_code,administrative_area_level_2,political,administrative_area_level_1,country,postal_code,street_number,route,sublocality,sublocality_level_1,locality,administrative_area_level_3,premise,postal_code_suffix,establishment,point_of_interest,neighborhood,park,transit_station,landmark,subpremise,sublocality_level_2,campground,lodging,bus_station,subway_station,postal_code_prefix,sublocality_level_3,airport,sublocality_level_4,train_station,administrative_area_level_4,administrative_area_level_5,postal_town,tourist_attraction,spa,travel_agency,light_rail_station,zoo,administrative_area_level_7,administrative_area_level_6,insurance_agency,post_box,cafe,food,car_rental,museum,store
24.79999,46.84999,"2894 طريق الشيخ عيسى بن سلمان ال خليفة، 7397, Al Maizilah, Riyadh 13234, Saudi Arabia",ChIJQULU0M6qLz4RuLvxog3AHVk,street_address,"RR2X+2X Al Maizilah, Riyadh Saudi Arabia",Riyadh Principality,Saudi Arabia,Riyadh Province,Saudi Arabia,13234,2894,طريق الشيخ عيسى بن سلمان ال خليفة,Al Maizilah,Al Maizilah,Riyadh,,,7397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.68411,46.71079,"RCWA8137, 8137 Harithah Ibn Oday, 3110, Al Wizarat, Riyadh 12622, Saudi Arabia",ChIJYw6AuYEDLz4RVDrNCfNTpjI,street_address,"MPM6+J7 Al Wizarat, Riyadh Saudi Arabia",Riyadh Principality,Saudi Arabia,Riyadh Province,Saudi Arabia,12622,8137,Harithah Ibn Oday,Al Wizarat,Al Wizarat,Riyadh,,RCWA8137,3110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.49307,39.61241,"DMAF3103، 3103 سلمان الاغر، 8684، حي مسجد الدرع، Madinah 42313, Saudi Arabia",ChIJ75coRWC-vRURpE-Bi-AxcxQ,street_address,FJV6+6X Madinah Saudi Arabia,Madinah Principality,Saudi Arabia,Al Madinah Province,Saudi Arabia,42313,3103,سلمان الاغر,حي مسجد الدرع,حي مسجد الدرع,Madinah,,DMAF3103,8684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.39314,36.56533,"KGAH3204، 3204 خالد بن عبدالعزيز، 6820، حي الفيصلية الشمالية، Tabuk 47912, Saudi Arabia",ChIJyQh5EaitqRURRSCTSMTpOiM,street_address,9HV8+63 Tabuk Saudi Arabia,Tabuk Principality,Saudi Arabia,Tabuk Province,Saudi Arabia,47912,3204,خالد بن عبدالعزيز,حي الفيصلية الشمالية,حي الفيصلية الشمالية,Tabuk,,KGAH3204,6820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.29541,55.37902,304 19A St - Al Nahda - Al Nahda 2 - Dubai - United Arab Emirates,ChIJA0KQFG1cXz4R6qao-WABRyo,"establishment, food, point_of_interest, restaurant",79WH+5J Dubai - United Arab Emirates,,United Arab Emirates,Dubai,United Arab Emirates,,304,19A Street,Al Nahda,Al Nahda,Dubai,,,,,,Al Nahda 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.57825,39.17433,"JDBB8468, 8468 Al Qaisoumah, 2931, Al Faisaliyah District, Jeddah 23442, Saudi Arabia",ChIJ0aXXkWDQwxURRkPolmeik1A,street_address,"H5HF+7P Al Faisaliyyah, Jeddah Saudi Arabia",Jeddah,Saudi Arabia,Makkah Province,Saudi Arabia,23442,8468,Al Qaisoumah,Al Faisaliyah District,Al Faisaliyah District,Jeddah,,JDBB8468,2931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.27514,39.26401,"JMBA2211، 2211 مريم بنت المجد الطبرية، 6678، حي البركة، Jeddah 22632, Saudi Arabia",ChIJaQmxcImzwxURIfEHuqXD9Eg,premise,,Jeddah,Saudi Arabia,Makkah Province,Saudi Arabia,22632,2211,مريم بنت المجد الطبرية,حي البركة,حي البركة,Jeddah,,JMBA2211,6678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.39412,55.45618,Horizon Tower Bus Stop - Al Rashidiya 1 - Ajman - United Arab Emirates,ChIJHT6HLzdYXz4REUtHKGu-91Q,"establishment, point_of_interest, transit_station",9FV4+QC Ajman - United Arab Emirates,,United Arab Emirates,Ajman,United Arab Emirates,,,,,,Ajman,,,,Horizon Tower Bus Stop,Horizon Tower Bus Stop,Al Rashidiya 1,,Horizon Tower Bus Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.58463,46.64478,"RIZA8608, 8608 Zaid Ibn Kharijah, 3479، حي الزهرة، Riyadh 12983, Saudi Arabia",ChIJvUTjQZwaLz4Ra6DVtPnB0VI,premise,,Riyadh Principality,Saudi Arabia,Riyadh Province,Saudi Arabia,12983,8608,Zaid Ibn Kharijah,حي الزهرة,حي الزهرة,Riyadh,,RIZA8608,3479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.13018,55.25228,14 15 St - Al Quoz - Al Quoz Industrial Area 2 - Dubai - United Arab Emirates,ChIJr7_DwBVpXz4RTLeENEn9K64,premise,,,United Arab Emirates,Dubai,United Arab Emirates,,14,15 Street,Al Quoz,Al Quoz,Dubai,,,,,,Al Quoz Industrial Area 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.87363,46.86487,"RTBB6722، 6722 عبدالوهاب بن مجاهد، 2889، حي البيان، Riyadh 13618, Saudi Arabia",ChIJjQOJuzRULj4RiCfFuLgqMrc,premise,,Riyadh Principality,Saudi Arabia,Riyadh Province,Saudi Arabia,13618,6722,عبدالوهاب بن مجاهد,حي البيان,حي البيان,Riyadh,,RTBB6722,2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.63631,46.71381,"3192 Shaiban At Tamimi, 7498, Ad Dirah, Riyadh 12633, Saudi Arabia",ChIJ8WwO06gFLz4R8h4mktwroRk,street_address,"JPP7+GH Ad Dirah, Riyadh Saudi Arabia",Riyadh Principality,Saudi Arabia,Riyadh Province,Saudi Arabia,12633,3192,Shaiban At Tamimi,Ad Dirah,Ad Dirah,Riyadh,,,7498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.84592,46.66836,"RANB8255، 8255 الربيع، 3755, An Narjis, Riyadh 13327, Saudi Arabia",ChIJl4wOdM3kLj4R8NrEyDo_uUY,street_address,"RMW9+89 An Narjis, Riyadh Saudi Arabia",Riyadh Principality,Saudi Arabia,Riyadh Province,Saudi Arabia,13327,8255,الربيع,An Narjis,An Narjis,Riyadh,,RANB8255,3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.93923,51.47411,"WFQF+MJ Ad-Daẖirah, Qatar",GhIJDWyVYHHwOUARcFrwoq-8SUA,plus_code,"WFQF+MJ Ad-Daẖirah, Qatar",,Qatar,Al Khor and Al Thakhira Municipality,Qatar,,,,,,Ad-Daẖirah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.12464,55.23333,15 9a St - Al Quoz - Al Quoz Industrial Area 4 - Dubai - United Arab Emirates,ChIJNz9VE2dpXz4RCHnNZOQPVeg,street_address,46FM+V7 Dubai - United Arab Emirates,,United Arab Emirates,Dubai,United Arab Emirates,,15,9a Street,Al Quoz,Al Quoz,Dubai,,,,,,Al Quoz Industrial Area 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.30987,47.83053,"8R5H+PQ, Sulaibikhat, Kuwait",ChIJ2S0HNxuNzz8RZUaeNU0vWbw,"establishment, point_of_interest",,,Kuwait,Al Asimah Governate,Kuwait,,,,South Doha,South Doha,Sulaibikhat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.47842,35.58852,FHHQ+9C Duba Saudi Arabia,GhIJmMCtu3l6O0ARXYWUn1TLQUA,plus_code,FHHQ+9C Duba Saudi Arabia,,Saudi Arabia,Tabuk Province,Saudi Arabia,,,,,,Duba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.54623,46.64778,"RKHC7433, 7433 Hamzah Ibn Abdul Mutalib, 3481, Alawali, Riyadh 14964, Saudi Arabia",ChIJ04xaD0sQLz4R0E1xGp1U7J8,street_address,"GJWX+F6 Alawali, Riyadh Saudi Arabia",Riyadh Principality,Saudi Arabia,Riyadh Province,Saudi Arabia,14964,7433,Hamzah Ibn Abdul Mutalib,Alawali,Alawali,Riyadh,,RKHC7433,3481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.27129,55.30692,78C4+GQ6 - 27th St - Deira - Dubai - United Arab Emirates,ChIJk0ZvPklDXz4RM61I4comzWk,"establishment, point_of_interest, store",,,United Arab Emirates,Dubai,United Arab Emirates,,,27th Street,Deira,Deira,Dubai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
