latitude,longitude,Formatted_Address,Place_ID,Place_Types,plus_code,administrative_area_level_2,political,administrative_area_level_1,country,postal_code,street_number,route,sublocality,sublocality_level_1,locality,administrative_area_level_3,premise,postal_code_suffix,establishment,point_of_interest,neighborhood,park,transit_station,landmark,subpremise,sublocality_level_2,campground,lodging,bus_station,subway_station,postal_code_prefix,sublocality_level_3,airport,sublocality_level_4,train_station,administrative_area_level_4,administrative_area_level_5,postal_town,tourist_attraction,spa,travel_agency,light_rail_station,zoo,administrative_area_level_7,administrative_area_level_6,insurance_agency,post_box,cafe,food,car_rental,museum,store
-1.22,36.900002,"QVJX+4W8, Road, Nairobi, Kenya",ChIJfZKKr4gVLxgRo3LTGTlQ75c,"establishment, point_of_interest",,,Kenya,Nairobi County,Kenya,,,Road,Kasarani Constituency,Kasarani Constituency,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.42,50.09,"EDMC7824، 7824 الحارث بن طفيل، 2114، حي ابن خلدون، Dammam 32253, Saudi Arabia",ChIJH7A3A5D8ST4RHc3aa_rVagw,premise,,Dammam Principality,Saudi Arabia,Eastern Province,Saudi Arabia,32253,7824,الحارث بن طفيل,حي ابن خلدون,حي ابن خلدون,Dammam,,EDMC7824,2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.02,30.469999,"2F9C+R7V, Monshaat Al Habashi, Damanhour, Beheira Governorate 5840011, Egypt",ChIJh5YkWy9r9hQRv3pglA1umHU,"establishment, point_of_interest",,Damanhour,Egypt,Beheira Governorate,Egypt,5840011,,,,,,Monshaat Al Habashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.309999,39.709999,"MDVA2671، 2671 الأميرةسارة بنت الإمام عبد الله، 7804, Walyal Ahd Dist., Makkah 24574, Saudi Arabia",ChIJtXNp4CAUwhURnHBlRleF2bk,street_address,8P55+XX Makkah Saudi Arabia,Makkah Principality,Saudi Arabia,Makkah Province,Saudi Arabia,24574,2671,الأميرةسارة بنت الإمام عبد الله,Walyal Ahd Dist.,Walyal Ahd Dist.,Makkah,,MDVA2671,7804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.219999,50.59,"6H9Q+WRH, Rd No 2510, Manama, Bahrain",ChIJA4-02EmvST4RYd9mcdwoYa4,"establishment, point_of_interest",,,Bahrain,Muḥāfaẓat al-ʿĀṣimah,Bahrain,,,Road No 2510,Qudaibiya,Qudaibiya,Manama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.16,47.310001,"OKSD3546، 3546 طريق ثمامة، 7872، حي الورود، Al-Kharj 16278, Saudi Arabia",ChIJx77fjXRPJT4RRc7LidKHuJ0,street_address,5866+32 Al-Kharj Saudi Arabia,Al Kharj,Saudi Arabia,Riyadh Province,Saudi Arabia,16278,3546,طريق ثمامة,حي الورود,حي الورود,Al-Kharj,,OKSD3546,7872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.370001,50.189999,"959R+W5C, Al Rakah Ash Shamaliyah, Dammam 34225, Saudi Arabia",ChIJA9otnWbvST4RTs7qeCAVdu8,premise,,Dammam Principality,Saudi Arabia,Eastern Province,Saudi Arabia,34225,,,Al Rakah Ash Shamaliyah,Al Rakah Ash Shamaliyah,Dammam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.26,36.790001,"87 Waiyaki Wy, Nairobi, Kenya",ChIJZ-gZkjkXLxgRQbkFrBv1wRk,"establishment, point_of_interest","PQQQ+XV Nairobi, Kenya",,Kenya,Nairobi County,Kenya,,87,Waiyaki Way,Muthangari,Muthangari,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.42,50.09,"EDMC7824، 7824 الحارث بن طفيل، 2114، حي ابن خلدون، Dammam 32253, Saudi Arabia",ChIJH7A3A5D8ST4RHc3aa_rVagw,premise,,Dammam Principality,Saudi Arabia,Eastern Province,Saudi Arabia,32253,7824,الحارث بن طفيل,حي ابن خلدون,حي ابن خلدون,Dammam,,EDMC7824,2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.559999,46.779999,"RMDB7251, 7251 Mohammad Rashid Rida, 2745، حي الدار البيضاء، Riyadh 14518, Saudi Arabia",ChIJnXfr-XoJLz4RLsCWZuuPfYk,street_address,"HQ6H+4J Ad Dar Al Baida, Riyadh Saudi Arabia",Riyadh Principality,Saudi Arabia,Riyadh Province,Saudi Arabia,14518,7251,Mohammad Rashid Rida,حي الدار البيضاء,حي الدار البيضاء,Riyadh,,RMDB7251,2745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
